time,gps_lat,gps_lon,gps_alt,t_u,t_l,t_i,rh_u,rh_l
2014-08-01,67.000355,-47.023338,1839.46,-3.4199,,-3.4091,81.0485,
2014-09-01,67.000354,-47.023467,1837.13,-9.7403,,-9.7372,83.9746,
2014-10-01,67.000362,-47.023558,1836.13,-18.2552,,-18.2468,82.0747,
2014-11-01,,,,-21.6862,,-21.6674,78.4283,
2014-12-01,,,,-26.9251,,-26.9416,81.7953,
2015-01-01,,,,-30.1141,,-30.114,78.9287,
2015-02-01,,,,-31.8527,,-31.8524,81.2642,
2015-03-01,,,,-26.4253,,-26.4182,79.2683,
2015-04-01,67.000362,-47.024275,1840.64,-19.8585,,-19.8629,78.6882,
2015-05-01,67.000317,-47.024113,1849.41,-13.27,,-13.2646,72.3918,
2015-06-01,67.000317,-47.024171,1849.6,-5.8337,,-5.8373,72.4222,
2015-07-01,67.000332,-47.024239,1847.04,-2.8295,,-2.8114,76.357,
2015-08-01,67.000331,-47.024374,1846.59,-6.367,,-6.377,79.7259,
2015-09-01,67.000341,-47.024479,1845.99,-10.5363,,-10.517,81.3884,
2015-10-01,67.000342,-47.024583,1845.7,-18.0128,,-18.0089,82.178,
2015-11-01,,,,-26.8764,,-26.8731,79.19,
2015-12-01,,,,-29.3341,,-29.3175,74.9617,
2016-01-01,,,,-22.2797,,-22.2953,73.9532,
2016-02-01,,,,-23.792,,-23.8021,76.3317,
2016-03-01,,,,-20.5287,,-20.5317,75.2751,
2016-04-01,67.000358,-47.025233,1843.87,-10.4093,,-10.4052,74.2427,
2016-05-01,67.000362,-47.025322,1842.31,-9.0463,,-9.042,75.7697,
2016-06-01,67.000372,-47.025402,1843.62,-2.185,,-2.1909,77.7431,
2016-07-01,67.000379,-47.025488,1843.54,-2.1255,,-2.1287,75.4381,
2016-08-01,67.000383,-47.025587,1843.26,-3.6149,,-3.6128,79.4672,
2016-09-01,67.000385,-47.025735,1840.95,-12.7393,,-12.7347,78.8536,
2016-10-01,67.000381,-47.02585,1840.52,-16.5774,,-16.5877,80.7819,
2016-11-01,67.000366,-47.025969,1845.46,-20.6346,,-20.6087,83.5397,
2016-12-01,67.00038,-47.026045,1836.1,-25.6523,,-25.6744,75.9566,
2017-01-01,67.000383,-47.026186,1844.84,-24.7568,,-24.7588,78.7443,
2017-02-01,,,,-24.452,,-24.4581,77.3839,
2017-03-01,,,,-23.9223,,-23.9058,72.4124,
2017-04-01,67.000412,-47.026477,1840.14,-19.8691,,-19.8748,72.8155,
2017-05-01,67.000412,-47.026533,1841.54,-6.9754,,-6.9865,76.0371,
2017-06-01,67.000414,-47.026631,1841.64,-5.9392,,-5.9444,72.5535,
2017-07-01,67.000413,-47.026736,1840.89,-4.2281,,-4.2188,76.5147,
2017-08-01,67.000418,-47.026836,1841.29,-4.2682,,-4.2605,83.9779,
2017-09-01,67.000417,-47.026942,1839.36,-12.1572,,-12.1417,82.7294,
2017-10-01,67.000424,-47.027048,1839.9,-14.1921,,-14.1937,84.4917,
2017-11-01,67.000415,-47.027166,1838.98,-21.9779,,-21.9724,83.3646,
2017-12-01,67.000422,-47.027269,1846.2,-21.9901,,-21.976,79.7426,
2018-01-01,67.00042,-47.027393,1843.56,-28.996,,-29.0056,73.2946,
2018-02-01,67.00044,-47.027475,1845.72,-29.3741,,-29.3621,74.2762,
2018-03-01,67.000436,-47.027556,1843.32,-24.0631,,-24.0621,74.5348,
2018-04-01,67.000456,-47.02771,1847.76,-16.933,,-16.9227,73.3874,
2018-05-01,67.000453,-47.027809,1847.81,-15.3811,,-15.3912,72.2719,
2018-06-01,67.000451,-47.027874,1845.35,-4.3273,,-4.3284,77.1913,
2018-07-01,67.000454,-47.027962,1843.29,-2.2261,,-2.2283,84.4418,
2018-08-01,67.000454,-47.028079,1840.35,-5.0386,,-5.0499,81.9711,
2018-09-01,67.000466,-47.028206,1830.47,-12.2186,,-12.221,80.0064,
2018-10-01,67.000468,-47.028291,1826.32,-23.7264,,-23.7117,77.331,
2018-11-01,67.000473,-47.028418,1831.99,-20.0484,,-20.072,76.4644,
2018-12-01,67.00046,-47.02853,1824.96,-18.359,,-18.3662,79.0806,
2019-01-01,67.000475,-47.028663,1829.17,-23.9446,,-23.9397,78.9906,
2019-02-01,67.000478,-47.028734,1826.08,-22.1947,,-22.1987,73.8313,
2019-03-01,67.000495,-47.028772,1826.28,-25.33,,-25.3271,73.0133,
2019-04-01,67.000482,-47.028931,1825.45,-13.4885,,-13.4974,75.6959,
2019-05-01,67.000488,-47.029038,1826.28,-7.0249,,-7.0304,75.151,
2019-06-01,67.000493,-47.029118,1832.71,-2.4185,,-2.4156,79.5908,
2019-07-01,67.000496,-47.029203,1836.66,-1.3121,,-1.2994,81.0636,
2019-08-01,67.000497,-47.029313,1837.43,-5.8778,,-5.8642,81.7124,
2019-09-01,67.000496,-47.029426,1828.48,-10.1285,,-10.1286,82.6709,
2019-10-01,67.000502,-47.029521,1829.17,-16.1827,,-16.1799,76.4791,
2019-11-01,67.000504,-47.029618,1829.59,-17.1226,,-17.1026,75.4324,
2019-12-01,67.000514,-47.029744,1826.44,-24.9888,,-24.9789,76.7454,
2020-01-01,67.000505,-47.029836,1829.35,-29.4675,,-29.4725,73.1391,
2020-02-01,67.000527,-47.029942,1821.23,-28.9727,,-28.9644,73.014,
2020-03-01,67.000514,-47.030023,1824.15,-27.4417,,-27.4399,76.8743,
2020-04-01,67.000523,-47.030172,1827.35,-17.4912,,-17.497,75.5886,
